,Bern,Basel SBB,Lausanne,Luzern,St. Gallen,Winterthur,Zug,Aarau,Baden,Biel/Bienne,Chur,Fribourg/Freiburg,Genève-Aéroport,Genève,Neuchâtel,Olten,Thun,Bellinzona,Lugano,Lugano Nord,Zürich Oerlikon,Zürich HB
Bern,0.0,104798.67699999997,96888.245,119979.28100000002,202576.44599999997,145437.40400000004,141853.60999999996,78999.68400000001,110068.24600000003,33461.669,234725.439,31109.895000000004,163033.06300000002,157114.875,62661.789,65626.28,31264.012000000002,285352.2110000001,314907.20700000005,314247.2729999999,124018.454,120492.58899999999
Basel SBB,104798.67699999997,0.0,177474.73499999993,94940.48999999999,176122.56299999994,118983.52099999998,116814.81899999996,52545.801,83614.36299999998,73186.658,208271.55599999998,135908.57199999996,233259.12899999996,227340.94099999993,102386.77799999999,39172.397,132299.57499999995,260313.41999999995,289868.4159999999,289208.4819999999,97564.57099999997,94038.70599999996
Lausanne,96888.245,177474.73499999993,0.0,216867.52599999998,299464.691,242325.64899999998,238741.8549999999,175887.92899999997,206956.49099999992,104288.07699999999,331613.6840000001,65778.34999999999,66144.818,60226.62999999999,75087.957,162514.52499999997,128152.257,382240.4560000001,411795.45200000005,411135.5179999999,220906.69899999996,217380.83399999994
Luzern,119979.28100000002,94940.48999999999,216867.52599999998,0.0,139430.84999999998,82291.80799999999,28417.295000000006,69141.497,78091.616,115838.70100000002,149820.39499999996,151089.176,275911.1720000001,269992.98400000005,145038.82100000005,55768.093,147480.179,169866.354,199421.34999999998,198761.41599999997,60872.85799999999,57346.992999999995
St. Gallen,202576.44599999997,176122.56299999994,299464.691,139430.84999999998,0.0,57139.041999999994,111013.55500000001,123576.762,104671.03199999999,197020.77400000003,106155.25000000003,233686.34099999993,357093.2449999999,351175.0569999998,226220.8940000001,136950.16599999997,230077.34399999998,304803.78000000014,334358.77600000007,333698.84199999983,78557.992,83926.409
Winterthur,145437.40400000004,118983.52099999998,242325.64899999998,82291.80799999999,57139.041999999994,0.0,53874.513000000006,66437.72,47531.990000000005,139881.73200000002,141020.21699999995,176547.29900000006,299954.2029999999,294036.01499999984,169081.85200000007,79811.124,172938.30200000008,247664.7380000002,277219.7340000001,276559.8000000001,21418.95,26787.367
Zug,141853.60999999996,116814.81899999996,238741.8549999999,28417.295000000006,111013.55500000001,53874.513000000006,0.0,68580.05099999998,49674.321,137713.03000000003,121403.1,172963.50499999992,297785.50100000005,291867.3130000001,166913.15000000005,77642.42199999998,169354.50799999997,193790.22500000006,223345.22100000005,222685.287,32455.563,28929.698
Aarau,78999.68400000001,52545.801,175887.92899999997,69141.497,123576.762,66437.72,68580.05099999998,0.0,31068.561999999998,73444.01200000002,155725.75499999995,110109.57900000001,233516.483,227598.29499999998,102644.13200000001,13373.403999999995,106500.58200000001,234514.42700000003,264069.423,263409.48900000006,45018.76999999999,41492.90499999999
Baden,110068.24600000003,83614.36299999998,206956.49099999992,78091.616,104671.03199999999,47531.990000000005,49674.321,31068.561999999998,0.0,104512.57400000004,136820.025,141178.141,264585.045,258666.85699999996,133712.69400000002,44441.965999999986,137569.14400000003,243464.54600000015,273019.54200000013,272359.6080000001,26113.039999999994,22587.175000000003
Biel/Bienne,33461.669,73186.658,104288.07699999999,115838.70100000002,197020.77400000003,139881.73200000002,137713.03000000003,73444.01200000002,104512.57400000004,0.0,229169.767,64571.564000000006,160072.47100000002,154154.283,29200.119999999995,60070.608000000015,60962.567,281211.63100000005,310766.6270000001,310106.69299999997,118462.782,114936.917
Chur,234725.439,208271.55599999998,331613.6840000001,149820.39499999996,106155.25000000003,141020.21699999995,121403.1,155725.75499999995,136820.025,229169.767,0.0,265835.3340000001,389242.238,383324.04999999993,258369.8870000001,169099.15899999999,262226.33700000006,315193.32500000007,344748.3210000001,344088.3870000001,119601.26699999999,116075.40199999997
