od_id,org,dest,q
0,0,1,3671.0
1,0,2,1935.0
2,0,3,9477.0
3,0,4,924.0
4,0,5,3344.0
5,0,6,2858.0
6,0,7,2575.0
7,0,8,1608.0
8,0,9,2285.0
9,0,10,1081.0
10,0,11,876.0
11,0,12,743.0
12,0,13,1288.0
13,0,14,745.0
14,0,15,636.0
15,0,16,898.0
16,0,17,4998.0
17,0,18,1176.0
18,0,19,824.0
19,0,20,1058.0
20,1,0,3939.0
21,1,2,9489.0
22,1,3,43725.0
23,1,4,4260.0
24,1,5,15416.0
25,1,6,13187.0
26,1,7,11870.0
27,1,8,7413.0
28,1,9,10945.0
29,1,10,4985.0
30,1,11,4355.0
31,1,12,3622.0
32,1,13,6277.0
33,1,14,3569.0
34,1,15,2933.0
35,1,16,4458.0
36,1,17,23060.0
37,1,18,5427.0
38,1,19,3798.0
39,1,20,4875.0
40,2,0,2172.0
41,2,1,9930.0
42,2,3,25994.0
43,2,4,2535.0
44,2,5,9172.0
45,2,6,7839.0
46,2,7,7062.0
47,2,8,4410.0
48,2,9,6173.0
49,2,10,2966.0
50,2,11,2317.0
51,2,12,1822.0
52,2,13,3157.0
53,2,14,1946.0
54,2,15,1745.0
55,2,16,2464.0
56,2,17,13709.0
57,2,18,3226.0
58,2,19,2259.0
59,2,20,2901.0
60,3,0,13732.0
61,3,1,59051.0
62,3,2,33549.0
63,3,4,14412.0
64,3,5,52155.0
65,3,6,43299.0
66,3,7,41415.0
67,3,8,25535.0
68,3,9,38767.0
69,3,10,16654.0
70,3,11,15182.0
71,3,12,12829.0
72,3,13,22235.0
73,3,14,12641.0
74,3,15,10232.0
75,3,16,15543.0
76,3,17,75628.0
77,3,18,17798.0
78,3,19,12848.0
79,3,20,16494.0
80,4,0,817.0
81,4,1,3509.0
82,4,2,1995.0
83,4,3,8790.0
84,4,5,2914.0
85,4,6,2575.0
86,4,7,2423.0
87,4,8,1470.0
88,4,9,2304.0
89,4,10,921.0
90,4,11,903.0
91,4,12,762.0
92,4,13,1321.0
93,4,14,751.0
94,4,15,608.0
95,4,16,924.0
96,4,17,4636.0
97,4,18,1091.0
98,4,19,736.0
99,4,20,950.0
100,5,0,3001.0
101,5,1,12895.0
102,5,2,7332.0
103,5,3,32303.0
104,5,4,2959.0
105,5,6,9463.0
106,5,7,8905.0
107,5,8,5403.0
108,5,9,8465.0
109,5,10,3568.0
110,5,11,3318.0
111,5,12,2801.0
112,5,13,4855.0
113,5,14,2760.0
114,5,15,2234.0
115,5,16,3397.0
116,5,17,17036.0
117,5,18,4009.0
118,5,19,2704.0
119,5,20,3490.0
120,6,0,2719.0
121,6,1,11693.0
122,6,2,6643.0
123,6,3,28431.0
124,6,4,2772.0
125,6,5,10032.0
126,6,7,8095.0
127,6,8,4912.0
128,6,9,7677.0
129,6,10,3203.0
130,6,11,3006.0
131,6,12,2540.0
132,6,13,4403.0
133,6,14,2503.0
134,6,15,2026.0
135,6,16,3078.0
136,6,17,14994.0
137,6,18,3529.0
138,6,19,2471.0
139,6,20,3173.0
140,7,0,2758.0
141,7,1,11851.0
142,7,2,6738.0
143,7,3,30618.0
144,7,4,2937.0
145,7,5,10629.0
146,7,6,9115.0
147,7,8,5111.0
148,7,9,7780.0
149,7,10,3437.0
150,7,11,3049.0
151,7,12,2575.0
152,7,13,4462.0
153,7,14,2537.0
154,7,15,2053.0
155,7,16,3122.0
156,7,17,16147.0
157,7,18,3800.0
158,7,19,2618.0
159,7,20,3361.0
160,8,0,1567.0
161,8,1,6734.0
162,8,2,3829.0
163,8,3,17176.0
164,8,4,1621.0
165,8,5,5867.0
166,8,6,5032.0
167,8,7,4650.0
168,8,9,4421.0
169,8,10,1897.0
170,8,11,1733.0
171,8,12,1463.0
172,8,13,2536.0
173,8,14,1441.0
174,8,15,1167.0
175,8,16,1774.0
176,8,17,9058.0
177,8,18,2132.0
178,8,19,1445.0
179,8,20,1856.0
180,9,0,2836.0
181,9,1,12661.0
182,9,2,6825.0
183,9,3,33208.0
184,9,4,3235.0
185,9,5,11708.0
186,9,6,10015.0
187,9,7,9015.0
188,9,8,5630.0
189,9,10,3786.0
190,9,11,3136.0
191,9,12,2605.0
192,9,13,4515.0
193,9,14,2567.0
194,9,15,2227.0
195,9,16,3210.0
196,9,17,17513.0
197,9,18,4121.0
198,9,19,2884.0
199,9,20,3703.0
200,10,0,694.0
201,10,1,2981.0
202,10,2,1695.0
203,10,3,7373.0
204,10,4,668.0
205,10,5,2551.0
206,10,6,2160.0
207,10,7,2058.0
208,10,8,1249.0
209,10,9,1957.0
210,10,11,767.0
211,10,12,648.0
212,10,13,1122.0
213,10,14,638.0
214,10,15,516.0
215,10,16,785.0
216,10,17,3889.0
217,10,18,915.0
218,10,19,628.0
219,10,20,807.0
220,11,0,1026.0
221,11,1,4755.0
222,11,2,2417.0
223,11,3,12274.0
224,11,4,1197.0
225,11,5,4331.0
226,11,6,3702.0
227,11,7,3335.0
228,11,8,2083.0
229,11,9,2959.0
230,11,10,1400.0
231,11,12,928.0
232,11,13,1609.0
233,11,14,965.0
234,11,15,824.0
235,11,16,1164.0
236,11,17,6473.0
237,11,18,1523.0
238,11,19,1067.0
239,11,20,1370.0
240,12,0,590.0
241,12,1,2680.0
242,12,2,1288.0
243,12,3,7028.0
244,12,4,685.0
245,12,5,2478.0
246,12,6,2119.0
247,12,7,1908.0
248,12,8,1191.0
249,12,9,1666.0
250,12,10,801.0
251,12,11,629.0
252,12,13,799.0
253,12,14,525.0
254,12,15,471.0
255,12,16,669.0
256,12,17,3706.0
257,12,18,872.0
258,12,19,610.0
259,12,20,784.0
260,13,0,1234.0
261,13,1,5606.0
262,13,2,2695.0
263,13,3,14705.0
264,13,4,1433.0
265,13,5,5184.0
266,13,6,4435.0
267,13,7,3992.0
268,13,8,2493.0
269,13,9,3486.0
270,13,10,1676.0
271,13,11,1316.0
272,13,12,965.0
273,13,14,1099.0
274,13,15,986.0
275,13,16,1400.0
276,13,17,7755.0
277,13,18,1825.0
278,13,19,1277.0
279,13,20,1640.0
280,14,0,546.0
281,14,1,2435.0
282,14,2,1269.0
283,14,3,6388.0
284,14,4,622.0
285,14,5,2252.0
286,14,6,1926.0
287,14,7,1734.0
288,14,8,1083.0
289,14,9,1514.0
290,14,10,728.0
291,14,11,603.0
292,14,12,484.0
293,14,13,840.0
294,14,15,428.0
295,14,16,617.0
296,14,17,3369.0
297,14,18,793.0
298,14,19,555.0
299,14,20,712.0
300,15,0,314.0
301,15,1,1348.0
302,15,2,767.0
303,15,3,3483.0
304,15,4,339.0
305,15,5,1228.0
306,15,6,1051.0
307,15,7,946.0
308,15,8,591.0
309,15,9,885.0
310,15,10,397.0
311,15,11,347.0
312,15,12,293.0
313,15,13,508.0
314,15,14,289.0
315,15,16,355.0
316,15,17,1837.0
317,15,18,432.0
318,15,19,303.0
319,15,20,388.0
320,16,0,1090.0
321,16,1,5040.0
322,16,2,2662.0
323,16,3,13010.0
324,16,4,1269.0
325,16,5,4591.0
326,16,6,3924.0
327,16,7,3535.0
328,16,8,2207.0
329,16,9,3137.0
330,16,10,1484.0
331,16,11,1205.0
332,16,12,1022.0
333,16,13,1772.0
334,16,14,1023.0
335,16,15,873.0
336,16,17,6861.0
337,16,18,1615.0
338,16,19,1131.0
339,16,20,1452.0
340,17,0,6678.0
341,17,1,28716.0
342,17,2,16315.0
343,17,3,69738.0
344,17,4,7009.0
345,17,5,25363.0
346,17,6,21056.0
347,17,7,20140.0
348,17,8,12418.0
349,17,9,18852.0
350,17,10,8099.0
351,17,11,7383.0
352,17,12,6239.0
353,17,13,10813.0
354,17,14,6147.0
355,17,15,4976.0
356,17,16,7559.0
357,17,18,7130.0
358,17,19,6248.0
359,17,20,8021.0
360,18,0,1443.0
361,18,1,6206.0
362,18,2,3526.0
363,18,3,15071.0
364,18,4,1515.0
365,18,5,5481.0
366,18,6,4550.0
367,18,7,4352.0
368,18,8,2684.0
369,18,9,4074.0
370,18,10,1750.0
371,18,11,1596.0
372,18,12,1348.0
373,18,13,2337.0
374,18,14,1328.0
375,18,15,1075.0
376,18,16,1633.0
377,18,17,6547.0
378,18,19,1350.0
379,18,20,1733.0
380,19,0,810.0
381,19,1,3482.0
382,19,2,1980.0
383,19,3,8723.0
384,19,4,819.0
385,19,5,2964.0
386,19,6,2555.0
387,19,7,2404.0
388,19,8,1459.0
389,19,9,2286.0
390,19,10,963.0
391,19,11,896.0
392,19,12,756.0
393,19,13,1311.0
394,19,14,745.0
395,19,15,603.0
396,19,16,917.0
397,19,17,4600.0
398,19,18,1083.0
399,19,20,942.0
400,20,0,1588.0
401,20,1,6823.0
402,20,2,3879.0
