,Bern,Basel SBB,Lausanne,Luzern,St. Gallen,Winterthur,Zug,Aarau,Baden,Biel/Bienne,Chur,Fribourg/Freiburg,Genève-Aéroport,Genève,Neuchâtel,Olten,Thun,Bellinzona,Lugano,Lugano Nord,Zürich Oerlikon,Zürich HB
Bern,0.0,-1.0,-1.0,119979.281,-1.0,-1.0,-1.0,-1.0,-1.0,33461.669,-1.0,31109.895000000004,-1.0,-1.0,-1.0,65626.28,31264.012000000002,-1.0,-1.0,-1.0,-1.0,-1.0
Basel SBB,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,73186.658,-1.0,-1.0,-1.0,-1.0,-1.0,39172.397,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Lausanne,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,65778.34999999999,-1.0,60226.63,75087.957,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Luzern,119979.281,-1.0,-1.0,0.0,-1.0,-1.0,28417.295000000006,65019.211,73096.897,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55768.093,147480.17900000006,176738.37300000002,-1.0,-1.0,-1.0,-1.0
St. Gallen,-1.0,-1.0,-1.0,-1.0,0.0,57139.041999999994,-1.0,-1.0,-1.0,-1.0,106155.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Winterthur,-1.0,-1.0,-1.0,-1.0,57139.041999999994,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,21418.95,-1.0
Zug,-1.0,-1.0,-1.0,28417.295000000006,-1.0,-1.0,0.0,56943.562000000005,49674.321,-1.0,121403.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,168662.72400000002,-1.0,-1.0,32455.563,28929.698
Aarau,-1.0,-1.0,-1.0,65019.211,-1.0,-1.0,56943.562000000005,0.0,31068.561999999998,-1.0,155725.75499999995,-1.0,-1.0,-1.0,-1.0,13373.403999999995,-1.0,205264.64,-1.0,-1.0,45018.76999999999,41492.90499999999
Baden,-1.0,-1.0,-1.0,73096.897,-1.0,-1.0,49674.321,31068.561999999998,0.0,-1.0,136820.02499999997,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,213342.326,-1.0,-1.0,26113.039999999994,22587.175000000003
Biel/Bienne,33461.669,73186.658,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,29200.119999999995,60070.608000000015,60962.566999999995,-1.0,-1.0,-1.0,-1.0,-1.0
Chur,-1.0,-1.0,-1.0,-1.0,106155.25,-1.0,121403.1,155725.75499999995,136820.02499999997,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,119601.26699999998,116075.40199999997
Fribourg/Freiburg,31109.895000000004,-1.0,65778.34999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Genève-Aéroport,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,5918.188000000002,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Genève,-1.0,-1.0,60226.63,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5918.188000000002,0.0,124954.16299999997,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Neuchâtel,-1.0,-1.0,75087.957,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29200.119999999995,-1.0,-1.0,-1.0,124954.16299999997,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Olten,65626.28,39172.397,-1.0,55768.093,-1.0,-1.0,-1.0,13373.403999999995,-1.0,60070.608000000015,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,93127.178,-1.0,-1.0,-1.0,-1.0,-1.0
Thun,31264.012000000002,-1.0,-1.0,147480.17900000006,-1.0,-1.0,-1.0,-1.0,-1.0,60962.566999999995,-1.0,-1.0,-1.0,-1.0,-1.0,93127.178,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
Bellinzona,-1.0,-1.0,-1.0,176738.37300000002,-1.0,-1.0,168662.72400000002,205264.64,213342.326,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,28895.061999999976,-1.0,-1.0
Lugano,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,659.9340000000084,-1.0,-1.0
Lugano Nord,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28895.061999999976,659.9340000000084,0.0,-1.0,-1.0
Zürich Oerlikon,-1.0,-1.0,-1.0,-1.0,-1.0,21418.95,32455.563,45018.76999999999,26113.039999999994,-1.0,119601.26699999998,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,5368.4169999999995
Zürich HB,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28929.698,41492.90499999999,22587.175000000003,-1.0,116075.40199999997,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5368.4169999999995,0.0
